Gender,Nationality,Class_Level,Age_Real,School_Type,Main_Administration,Candidacy_type,Degree,Result
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,487,FAIL
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,647,PASS
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,673,PASS
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,607,PASS
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,640,PASS
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,673,PASS
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,667,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,613,PASS
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,540,FAIL
male,Saudi,3,18,Private,Riyadh,Talented-Candidacy,747,PASS
female,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,593,FAIL
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,587,FAIL
male,Saudi,3,18,Private,Tabuk,Self-Candidacy,627,PASS
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,613,PASS
female,Saudi,3,18,Private,Mecca,Self-Candidacy,607,PASS
female,Saudi,3,18,Foreign,Mecca,Self-Candidacy,640,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,627,PASS
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,620,PASS
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,627,PASS
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,607,PASS
female,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,567,FAIL
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,667,PASS
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,687,PASS
female,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,693,PASS
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,580,FAIL
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,587,FAIL
male,Saudi,3,18,Private,Riyadh,Talented-Candidacy,760,PASS
male,Saudi,3,18,Private,Mecca,Self-Candidacy,567,FAIL
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,600,FAIL
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,627,PASS
female,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,653,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,540,FAIL
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,627,PASS
male,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,633,PASS
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,600,FAIL
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,700,PASS
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,607,PASS
female,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,653,PASS
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,700,PASS
female,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,653,PASS
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,587,FAIL
male,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,613,PASS
male,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,613,PASS
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,707,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,627,PASS
male,Saudi,3,18,Governmental,Hail,Talented-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,707,PASS
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,567,FAIL
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,753,PASS
male,Saudi,3,18,Governmental,Hudud-Shimaliyyah,Self-Candidacy,647,PASS
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,627,PASS
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,500,FAIL
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,753,PASS
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,627,PASS
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,640,PASS
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,540,FAIL
female,Saudi,3,18,Governmental,Bahah,Self-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,773,PASS
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,693,PASS
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,687,PASS
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,733,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,640,PASS
female,Saudi,3,18,Private,Mecca,Self-Candidacy,580,FAIL
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,727,PASS
male,Saudi,3,18,Private,Mecca,Self-Candidacy,667,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,620,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,667,PASS
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,653,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,413,FAIL
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,653,PASS
female,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,660,PASS
female,Saudi,3,19,Governmental,Mecca,Talented-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,527,FAIL
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,720,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,613,PASS
male,Saudi,3,18,Governmental,Tabuk,Talented-Candidacy,660,PASS
male,Saudi,3,18,Private,Eastern,Self-Candidacy,647,PASS
